name,rating,address,category,review_count,url,id
Sea The City Jet Ski,4.7,"84 Audrey Zapp Dr, Jersey City, NJ 07305","Tours, Jet Skis, Boating",178,https://www.yelp.com/biz/sea-the-city-jet-ski-jersey-city?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,BR8bsVj4Q4W6DvNEJrckZg
The Metropolitan Museum of Art,4.7,"1000 Fifth Ave, New York, NY 10028",Art Museums,3590,https://www.yelp.com/biz/the-metropolitan-museum-of-art-new-york-3?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,jVncyqXwlx_D9f2xZn05tg
BLDG 92,4.7,"63 Flushing Ave, Bldg 92, Brooklyn Navy Yard Center, Brooklyn, NY 11201","Museums, Tours",21,https://www.yelp.com/biz/bldg-92-brooklyn?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,WiuY9ZfJVb5tQTvToq9Fig
Brooklyn Bridge,4.6,"334 Furman St, Brooklyn, NY 11201",Landmarks & Historical Buildings,1623,https://www.yelp.com/biz/brooklyn-bridge-brooklyn?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,mvn2XFJfIPNAlvsy-arzkA
Stanley's Claw Machines,4.6,"60 Mulberry St, New York, NY 10013",Arcades,19,https://www.yelp.com/biz/stanleys-claw-machines-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,RohYqKdTqlKpcCTGLxpfYg
Rock Hall Museum,4.6,"199 Broadway, Lawrence, NY 11559",Museums,8,https://www.yelp.com/biz/rock-hall-museum-lawrence?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,WxyFkO3DXfdvl9Fnak8h6Q
Dumbo,4.6,"Brooklyn, NY 11201",Landmarks & Historical Buildings,153,https://www.yelp.com/biz/dumbo-brooklyn?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,5vVD0YxnyJjg-CXUbNGLQA
Grand Central Terminal,4.6,"89 E 42nd St, New York, NY 10017","Landmarks & Historical Buildings, Train Stations",1582,https://www.yelp.com/biz/grand-central-terminal-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,8HkB3JfIj7_g-MN5ujoRig
Museum Of Broadway,4.6,"145 W 45th St, New York, NY 10036",Museums,99,https://www.yelp.com/biz/museum-of-broadway-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,FeTXZUBeZS5U-Slu6DG-2Q
Flatiron Building,4.6,"175 5th Ave, New York, NY 10010",Landmarks & Historical Buildings,187,https://www.yelp.com/biz/flatiron-building-new-york-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,ql4iB74Qk1Lg9CdZ3N6Exg
